Artichoke, Cabbage,,,,,,,,
Chayote, Radicchio,,,,,,,,
Green onion, Collard greens,,,,,,,,
Green beans, Red chili pepper, Bell pepper,,,,,,,
Escarole, Mushroom, Endive,,,,,,,
Onion, Cucumber, Green onion,,,,,,,
Tomato, Cauliflower, Collard greens, Red onion,,,,,,
Red chili pepper, Endive, Bean sprouts, Escarole,,,,,,
Bamboo shoots, Parsnip,,,,,,,,
Chayote, Radish,,,,,,,,
Cactus pear, Artichoke,,,,,,,,
Onion, Beans,,,,,,,,
Garlic, Pumpkin, Bean sprouts,,,,,,,
Artichoke, Yam, Potato,,,,,,,
Broccoli, Green beans, Sweet potato,,,,,,,
Radish, Sweet potato, Parsnip,,,,,,,
Bell pepper, Green beans, Leek,,,,,,,
Celery, Spinach, Cactus pear, Radicchio,,,,,,
Cabbage, Garlic, Bean sprouts, Yam,,,,,,
Green beans, Spinach, Mushroom, Red onion,,,,,,
Escarole, Bamboo shoots, Cucumber, Endive, Garlic,,,,,
Green beans, Garlic, Parsnip, Red chili pepper, Tomato,,,,,
Bamboo shoots, Red cabbage, Bean sprouts, Potato, Pea,,,,,
Escarole, Mushroom, Parsnip,,,,,,,
Escarole, Zucchini, Radicchio,,,,,,,
Potato, Tomato,,,,,,,,
Zucchini, Lettuce,,,,,,,,
Bean sprouts, Spinach,,,,,,,,
Broccoli, Green beans,,,,,,,,
Bell pepper, Zucchini, Yam, Green onion,,,,,,
Cactus pear, Brussels sprouts, Green onion, Red onion,,,,,,
Yam, Sweet potato, Celery, Red cabbage,,,,,,
Escarole, Brussels sprouts,,,,,,,,
Lettuce, Red chili pepper,,,,,,,,
Beans, Escarole,,,,,,,,
Radicchio, Pea, Broccoli,,,,,,,
Brussels sprouts, Collard greens, Zucchini,,,,,,,
Red onion, Zucchini, Spinach,,,,,,,
Garlic, Pumpkin, Radicchio, Beetroot,,,,,,
Cucumber, Lettuce, Chayote, Green onion,,,,,,
Celery, Green beans,,,,,,,,
Escarole, Cabbage,,,,,,,,
Red cabbage, Beetroot,,,,,,,,
Yam, Escarole, Mushroom,,,,,,,
Brussels sprouts, Garlic, Artichoke,,,,,,,
Cabbage, Celery, Bell pepper,,,,,,,
Yellow squash, Green onion, Lettuce, Pumpkin,,,,,,
Tomato, Radicchio, Beetroot, Eggplant,,,,,,
Bamboo shoots, Onion, Leek, Corn,,,,,,
Beetroot, Zucchini,,,,,,,,
Garlic, Cabbage,,,,,,,,
Yellow squash, Red cabbage,,,,,,,,
Lettuce, Bell pepper,,,,,,,,
Corn, Green onion, Bean sprouts,,,,,,,
Eggplant, Escarole, Chayote,,,,,,,
Pepper, Cauliflower, Potato,,,,,,,
Green beans, Corn,,,,,,,,
Sweet potato, Bell pepper,,,,,,,,
Bell pepper, Beetroot,,,,,,,,
Cactus pear, Parsnip, Bean sprouts, Spinach,,,,,,
Pumpkin, Cabbage, Red chili pepper, Cactus pear,,,,,,
Pumpkin, Collard greens, Escarole, Yellow squash,,,,,,
Potato, Red onion, Spinach,,,,,,,
Red cabbage, Green beans, Asparagus,,,,,,,
Bell pepper, Yam, Pepper,,,,,,,
Cabbage, Red onion,,,,,,,,
Spinach, Cauliflower,,,,,,,,
Collard greens, Artichoke,,,,,,,,
Green onion, Onion,,,,,,,,
Potato, Radicchio,,,,,,,,
Carrot, Bell pepper, Yellow squash,,,,,,,
Bean sprouts, Pea, Celery,,,,,,,
Broccoli, Bamboo shoots, Corn,,,,,,,
Spinach, Bean sprouts, Yellow squash,,,,,,,
Beans, Escarole, Eggplant, Pepper,,,,,,
Yellow squash, Sweet potato, Tomato, Escarole,,,,,,
Brussels sprouts, Yellow squash,,,,,,,,
Eggplant, Yam,,,,,,,,
Beetroot, Celery,,,,,,,,
Bean sprouts, Parsnip,,,,,,,,
Cabbage, Red onion,,,,,,,,
Bamboo shoots, Mushroom,,,,,,,,
Radish, Onion, Beetroot,,,,,,,
Parsnip, Eggplant, Bamboo shoots,,,,,,,
Eggplant, Collard greens, Beetroot,,,,,,,
Collard greens, Potato, Celery,,,,,,,
Chayote, Yam,,,,,,,,
Green beans, Garlic,,,,,,,,
Chayote, Pepper,,,,,,,,
Garlic, Brussels sprouts,,,,,,,,
Leek, Asparagus,,,,,,,,
Bean sprouts, Red cabbage,,,,,,,,
